schema_version,dataset,architecture,seed,aggregate_accuracy,train_time_sec,epochs_run,normal_recall,normal_precision,normal_support,bruteforce_recall,bruteforce_precision,bruteforce_support,dos_recall,dos_precision,dos_support,web_attacks_recall,web_attacks_precision,web_attacks_support,infiltration_recall,infiltration_precision,infiltration_support,botnet_recall,botnet_precision,botnet_support,ddos_recall,ddos_precision,ddos_support
1.0,cse_cic_ids2018_draw2,lightgbm,0,0.9853996349908748,6.65,,0.9984333102347022,0.9890762572750336,33191,0.9936440677966102,0.8542805100182149,944,0.9013563501849569,0.9952348536419333,1622,1.0,0.2222222222222222,2,0.0829145728643216,0.42857142857142855,398,0.998589562764457,1.0,709,1.0,1.0,3133
1.0,cse_cic_ids2018_draw2,lightgbm,1,0.8384709617740443,5.79,,0.9785182730258203,0.8678620099938541,33191,0.17266949152542374,0.2156084656084656,944,0.0,nan,1622,0.0,0.0,2,0.002512562814070352,0.05263157894736842,398,0.0028208744710860366,0.02531645569620253,709,0.2853495052665177,0.5228070175438596,3133
1.0,cse_cic_ids2018_draw2,lightgbm,2,0.8132203305082627,5.24,,0.9580006628302853,0.8465654952076678,33191,0.6864406779661016,0.6525679758308157,944,0.0,nan,1622,0.0,0.0,2,0.10804020100502512,0.034874290348742905,398,0.0,0.0,709,0.012767315671879987,0.7142857142857143,3133
1.0,cse_cic_ids2018_draw2,lightgbm,3,0.6692667316682918,4.58,,0.802807990117803,0.8100072957198443,33191,0.03283898305084746,0.09365558912386707,944,0.0499383477188656,0.036064113980409616,1622,0.0,0.0,2,0.01256281407035176,0.03125,398,0.0,0.0,709,0.0022342802425789976,0.0016953257447323807,3133
1.0,cse_cic_ids2018_draw2,lightgbm,4,0.8934723368084202,6.37,,0.949233225874484,0.9677478805750093,33191,0.00211864406779661,0.002758620689655172,944,0.8076448828606658,0.45032657270539705,1622,0.0,0.0,2,0.002512562814070352,0.002347417840375587,398,0.4301833568406206,0.5722326454033771,709,0.8343440791573572,0.9460731089395584,3133
1.0,cse_cic_ids2018_draw2,lightgbm,5,0.891022275556889,6.44,,0.9337169714681691,0.9662945871788476,33191,0.725635593220339,0.6199095022624435,944,0.6183723797780518,0.8316749585406302,1622,0.0,0.0,2,0.0829145728643216,0.06191369606003752,398,0.9619181946403385,0.36065573770491804,709,0.7168847749760613,0.7809457579972183,3133
1.0,cse_cic_ids2018_draw2,lightgbm,6,0.7062426560664017,5.94,,0.806604199933717,0.8762191529750606,33191,0.0,0.0,944,0.013563501849568433,0.3333333333333333,1622,0.0,0.0,2,0.01507537688442211,0.009287925696594427,398,0.0,0.0,709,0.46249601021385256,0.1707920792079208,3133
1.0,cse_cic_ids2018_draw2,lightgbm,7,0.8770719267981699,5.12,,0.979663161700461,0.9157630889683724,33191,0.007415254237288136,0.2413793103448276,944,0.009247842170160296,0.5172413793103449,1622,0.0,0.0,2,0.002512562814070352,0.009259259259259259,398,0.4795486600846262,0.5964912280701754,709,0.7031599106287904,0.850907686365392,3133
1.0,cse_cic_ids2018_draw2,lightgbm,8,0.8019450486262156,4.13,,0.9660751408514356,0.830699481865285,33191,0.0,0.0,944,0.007398273736128237,0.02564102564102564,1622,0.0,0.0,2,0.0,0.0,398,0.0,0.0,709,0.0,0.0,3133
1.0,cse_cic_ids2018_draw2,lightgbm,9,0.8401210030250756,6.1,,0.9548974119490223,0.9467961165048544,33191,0.5052966101694916,0.521311475409836,944,0.0030826140567200987,0.056818181818181816,1622,0.0,0.0,2,0.02512562814070352,0.0684931506849315,398,0.32016925246826516,0.17315026697177727,709,0.3801468241302266,0.45878274268104774,3133
