schema_version,dataset,architecture,seed,aggregate_accuracy,train_time_sec,epochs_run,normal_recall,normal_precision,normal_support,dos_recall,dos_precision,dos_support,probe_recall,probe_precision,probe_support,r2l_recall,r2l_precision,r2l_support,u2r_recall,u2r_precision,u2r_support
1.0,nsl_kdd,dnn,0,0.7633516678495387,756.24,23,0.9333745237359695,0.6750577195203694,9711,0.8429873960847413,0.9135425748328974,7458,0.6592317224287485,0.81511746680286,2421,0.09041394335511982,0.9467680608365019,2754,0.065,0.9285714285714286,200
1.0,nsl_kdd,dnn,1,0.7781671398154719,950.46,26,0.9719905262073937,0.6828968311387643,9711,0.8373558594797533,0.9647767650239456,7458,0.6373399421726559,0.8032274856845393,2421,0.10675381263616558,0.9702970297029703,2754,0.11,0.88,200
1.0,nsl_kdd,dnn,2,0.7729329311568488,230.68,41,0.96673874987128,0.6858562244301578,9711,0.8388307857334406,0.9633507853403142,7458,0.6092523750516315,0.7591353576942872,2421,0.10639070442992012,0.7306733167082294,2754,0.065,0.7222222222222222,200
1.0,nsl_kdd,dnn,3,0.7808729595457772,215.6,36,0.9735351663062507,0.6864652918966018,9711,0.8329310807186914,0.9587899367186294,7458,0.6794712928541925,0.8266331658291457,2421,0.09985475671750181,0.9717314487632509,2754,0.09,0.9,200
1.0,nsl_kdd,dnn,4,0.7693843151171044,133.35,22,0.9442899804345587,0.6750588928150766,9711,0.8353445964065433,0.922962962962963,7458,0.6848409748038001,0.8694284216046145,2421,0.09658678286129267,0.953405017921147,2754,0.105,0.875,200
1.0,nsl_kdd,dnn,5,0.7675656493967353,175.42,30,0.9526310369683864,0.6746645274212368,9711,0.8311879860552427,0.9295246663667717,7458,0.6683188764973151,0.8431474726420011,2421,0.08024691358024691,0.973568281938326,2754,0.075,0.8823529411764706,200
1.0,nsl_kdd,dnn,6,0.7718239886444287,194.46,32,0.9736381423128411,0.6748750892219842,9711,0.829042638777152,0.9589019851116626,7458,0.5976869062370921,0.8311315336013785,2421,0.10639070442992012,0.915625,2754,0.11,0.88,200
1.0,nsl_kdd,dnn,7,0.7812721788502484,188.16,33,0.9724024302337555,0.681559003969686,9711,0.8360150174309466,0.9653197089332715,7458,0.6943411813300289,0.8532994923857868,2421,0.08569353667392883,0.9752066115702479,2754,0.09,1.0,200
1.0,nsl_kdd,dnn,8,0.7873935415188077,139.18,24,0.9719905262073937,0.6940441176470589,9711,0.8448645749530705,0.9638978124521952,7458,0.7224287484510533,0.8184370613008891,2421,0.09513435003631082,0.9703703703703703,2754,0.0,nan,200
1.0,nsl_kdd,dnn,9,0.7769694819020582,203.61,34,0.972505406240346,0.678302090066796,9711,0.828238133547868,0.9625993454885461,7458,0.644361833952912,0.8432432432432433,2421,0.11437908496732026,0.9459459459459459,2754,0.1,0.9523809523809523,200
1.0,nsl_kdd,dnn,10,0.7781671398154719,163.04,27,0.9729173102667078,0.6791259344450834,9711,0.8409761330115313,0.9665587918015103,7458,0.6414704667492772,0.8340494092373791,2421,0.09186637618010167,0.9583333333333334,2754,0.085,1.0,200
1.0,nsl_kdd,dnn,11,0.7732434350603264,145.91,25,0.9729173102667078,0.6776646105293358,9711,0.8341378385626174,0.9638983576076852,7458,0.6179264766625362,0.8315730961645359,2421,0.09368191721132897,0.7633136094674556,2754,0.045,0.8181818181818182,200
1.0,nsl_kdd,dnn,12,0.75847232079489,213.36,36,0.9312120275975697,0.6773275410081642,9711,0.8321265754894074,0.9099706744868035,7458,0.6567534076827757,0.7714701601164483,2421,0.08714596949891068,0.8247422680412371,2754,0.1,0.9523809523809523,200
1.0,nsl_kdd,dnn,13,0.7638396025550035,185.68,32,0.9345072598084646,0.6759273052286608,9711,0.8407079646017699,0.9134615384615384,7458,0.6695580338703015,0.8191005558362809,2421,0.08460421205519245,0.9209486166007905,2754,0.105,0.9545454545454546,200
1.0,nsl_kdd,dnn,14,0.7822924059616749,164.83,28,0.9728143342601174,0.6833273056057866,9711,0.8340037543577367,0.9613601236476044,7458,0.6972325485336638,0.8634271099744245,2421,0.0962236746550472,0.9601449275362319,2754,0.08,0.8888888888888888,200
1.0,nsl_kdd,dnn,15,0.7523509581263307,167.15,29,0.9702399340953558,0.6515905947441217,9711,0.7802359882005899,0.9640490390987408,7458,0.6026435357290376,0.823828345567476,2421,0.09041394335511982,0.9431818181818182,2754,0.06,0.9230769230769231,200
1.0,nsl_kdd,dnn,16,0.7799414478353442,140.14,24,0.9700339820821748,0.6830541657602784,9711,0.8340037543577367,0.9618060924694604,7458,0.7021891780256092,0.8395061728395061,2421,0.08278867102396514,0.9344262295081968,2754,0.075,0.8823529411764706,200
1.0,nsl_kdd,dnn,17,0.7760379701916252,212.47,36,0.9720935022139842,0.6756853482213155,9711,0.8315902386698847,0.9648413192283759,7458,0.6530359355638166,0.8504572350726197,2421,0.09041394335511982,0.9540229885057471,2754,0.115,0.92,200
1.0,nsl_kdd,dnn,18,0.7634403832505323,151.02,26,0.9369786839666358,0.6782200357781754,9711,0.8311879860552427,0.9120200088274238,7458,0.6790582403965304,0.8046989720998532,2421,0.09114015976761075,0.9365671641791045,2754,0.09,0.9,200
1.0,nsl_kdd,dnn,19,0.772888573456352,178.04,31,0.9713726701678509,0.6765401993832031,9711,0.8412443014212926,0.961827380039859,7458,0.5960346964064436,0.8047964305633017,2421,0.09041394335511982,0.97265625,2754,0.125,0.8620689655172413,200
1.0,nsl_kdd,dnn,20,0.7646380411639461,138.48,24,0.9350221398414169,0.6776119402985075,9711,0.8404397961920086,0.9106494261223304,7458,0.6794712928541925,0.818815331010453,2421,0.08278867102396514,0.9702127659574468,2754,0.085,1.0,200
1.0,nsl_kdd,dnn,21,0.7566980127750177,169.33,29,0.9378024920193595,0.6622791069740382,9711,0.8386967015285599,0.9146073987425062,7458,0.5857083849648905,0.851140456182473,2421,0.0944081336238199,0.9701492537313433,2754,0.095,0.95,200
1.0,nsl_kdd,dnn,22,0.7602466288147622,165.34,29,0.9367727319534549,0.6680129240710824,9711,0.835076427996782,0.9156130549838283,7458,0.6220570012391574,0.8385300668151447,2421,0.10784313725490197,0.945859872611465,2754,0.055,0.7857142857142857,200
1.0,nsl_kdd,dnn,23,0.7607789212207239,179.03,32,0.9389352280918546,0.6660822558258456,9711,0.8362831858407079,0.9182862190812721,7458,0.6617100371747212,0.8636118598382749,2421,0.0635439360929557,0.9259259259259259,2754,0.095,1.0,200
1.0,nsl_kdd,dnn,24,0.7748403122782115,185.44,31,0.9708577901348986,0.6791039400705899,9711,0.8407079646017699,0.9610668301655426,7458,0.6051218504750103,0.804945054945055,2421,0.10239651416122005,0.9690721649484536,2754,0.115,0.8846153846153846,200
1.0,nsl_kdd,dnn,25,0.774041873669269,245.03,41,0.9739470703326125,0.6782845668387837,9711,0.833869670152856,0.9637377963737797,7458,0.624122263527468,0.8338852097130243,2421,0.0896877269426289,0.7791798107255521,2754,0.075,0.8333333333333334,200
1.0,nsl_kdd,dnn,26,0.7832682753726047,192.92,34,0.9732262382864793,0.6868459302325581,9711,0.8431214802896219,0.9639736317645256,7458,0.667905824039653,0.868421052631579,2421,0.10312273057371096,0.9793103448275862,2754,0.09,0.1651376146788991,200
1.0,nsl_kdd,dnn,27,0.7464957416607523,117.44,21,0.9370816599732262,0.6541115583668775,9711,0.7862697774202199,0.9042405551272167,7458,0.6451879388682362,0.853551912568306,2421,0.10457516339869281,0.96,2754,0.075,0.8823529411764706,200
1.0,nsl_kdd,dnn,28,0.7711586231369766,221.89,40,0.9728143342601174,0.6794936344673811,9711,0.833467417538214,0.9580764488286067,7458,0.6414704667492772,0.7891260162601627,2421,0.05555555555555555,0.9107142857142857,2754,0.08,0.9411764705882353,200
