config,n_jobs,mode,seed,repeat,accuracy,pred_hash,train_time_sec
l2_reg1,1,different_seeds,4,0,0.7558108587650816,191389564a00,6.7
l2_reg1,1,different_seeds,5,0,0.7634847409510291,7db5adf04e6c,6.8
l2_reg1,1,different_seeds,6,0,0.7603353442157559,b7bb72c3a52d,6.8
l2_reg1,1,different_seeds,7,0,0.7609119943222143,7eb1c055709e,6.7
baseline_deterministic_flag,-1,same_seed,0,0,0.6560060326472675,0f8918ee2ee7,2.3
baseline_deterministic_flag,-1,same_seed,0,1,0.6560060326472675,0f8918ee2ee7,2.3
baseline_deterministic_flag,-1,same_seed,0,2,0.6560060326472675,0f8918ee2ee7,2.3
baseline_deterministic_flag,-1,same_seed,0,3,0.6560060326472675,0f8918ee2ee7,2.3
baseline_deterministic_flag,-1,same_seed,0,4,0.6560060326472675,0f8918ee2ee7,2.3
baseline_deterministic_flag,-1,same_seed,0,5,0.6560060326472675,0f8918ee2ee7,2.3
baseline_deterministic_flag,-1,different_seeds,0,0,0.6560060326472675,0f8918ee2ee7,2.3
baseline_deterministic_flag,-1,different_seeds,1,0,0.7471167494677076,113f183d05b0,2.6
baseline_deterministic_flag,-1,different_seeds,2,0,0.7547019162526615,08f553dd0b95,3.4
baseline_deterministic_flag,-1,different_seeds,3,0,0.7561213626685592,8e6d8df45ea0,2.8
baseline_deterministic_flag,-1,different_seeds,4,0,0.4724095102909865,16aea8c638f9,2.3
baseline_deterministic_flag,-1,different_seeds,5,0,0.6980571327182399,ec6bd903d6df,2.7
baseline_deterministic_flag,-1,different_seeds,6,0,0.5675567778566359,51af1d547ead,2.6
baseline_deterministic_flag,-1,different_seeds,7,0,0.6431422995031938,d06a33137762,2.6
baseline_deterministic_flag,1,same_seed,0,0,0.6147977288857346,20411e82106f,6.3
baseline_deterministic_flag,1,same_seed,0,1,0.6147977288857346,20411e82106f,6.4
baseline_deterministic_flag,1,same_seed,0,2,0.6147977288857346,20411e82106f,6.3
baseline_deterministic_flag,1,same_seed,0,3,0.6147977288857346,20411e82106f,6.3
baseline_deterministic_flag,1,same_seed,0,4,0.6147977288857346,20411e82106f,6.3
baseline_deterministic_flag,1,same_seed,0,5,0.6147977288857346,20411e82106f,6.3
baseline_deterministic_flag,1,different_seeds,0,0,0.6147977288857346,20411e82106f,6.3
baseline_deterministic_flag,1,different_seeds,1,0,0.7019606103619588,33aa3493c710,5.9
baseline_deterministic_flag,1,different_seeds,2,0,0.7547019162526615,08f553dd0b95,6.6
baseline_deterministic_flag,1,different_seeds,3,0,0.7374024130589071,16105f9c6776,6.7
baseline_deterministic_flag,1,different_seeds,4,0,0.5222675656493967,efcda2fbe8c9,5.8
baseline_deterministic_flag,1,different_seeds,5,0,0.7555890702625976,9923a76947a5,6.7
baseline_deterministic_flag,1,different_seeds,6,0,0.7684528034066714,bb88abed936f,6.2
baseline_deterministic_flag,1,different_seeds,7,0,0.7177519517388219,e564395b979d,6.5
