architecture,metric,n_seeds,mean_ci_half_width,median_ci_half_width,sd_subset_means,p05_subset_mean,p95_subset_mean,frac_ci_excludes_full_mean,prefix_ci_half_width,prefix_mean,full_mean
dnn,aggregate_accuracy,3,0.02073784197966777,0.019962994121891883,0.005457555973159827,0.7616956470309914,0.7790846049207477,0.06,0.018664008362867978,0.7714839129406198,0.7708836053938963
dnn,aggregate_accuracy,5,0.010948505380795939,0.010808621358860002,0.003814771670736048,0.7645116217175301,0.7769614975159688,0.06,0.008665753534308674,0.7729418026969481,0.7708836053938963
dnn,aggregate_accuracy,10,0.006522229451422296,0.006480507224845661,0.00257678165421074,0.7666509936124911,0.7751286373314408,0.037,0.0052143322468395014,0.7749733853797018,0.7708836053938963
dnn,aggregate_accuracy,20,0.00433159532690784,0.004356898574288488,0.0015060208970521358,0.7684505855216466,0.7734453734918381,0.012,0.004152582713017478,0.7725204045422286,0.7708836053938963
dnn,aggregate_accuracy,30,0.003491535859656884,0.003532670796190563,0.0008346343785501426,0.769594200969955,0.7722725189259522,0.001,0.0036572980780879543,0.7705361367400047,0.7708836053938963
dnn,aggregate_accuracy,40,0.0029915216596065053,0.0029915216596065053,0.0,0.7708836053938963,0.7708836053938963,0.0,0.0029915216596065053,0.7708836053938963,0.7708836053938963
dnn,normal_recall,3,0.03452289554097743,0.04794707210690246,0.009321640256877923,0.9464507603061819,0.9729859609377681,0.322,0.05202819112462339,0.9573679332715477,0.9610544743074863
dnn,normal_recall,5,0.019240600778820244,0.021302407928214355,0.006901394826112696,0.9500154464009887,0.9724652455977758,0.128,0.022451637747825087,0.9579857893110905,0.9610544743074863
dnn,normal_recall,10,0.011682239926214312,0.012179275285878925,0.004498827719265432,0.9538549068067139,0.9686031304706003,0.031,0.010428972143078185,0.9633096488518176,0.9610544743074863
dnn,normal_recall,20,0.007756139484952263,0.007854984593090995,0.002623208875865774,0.9566676964267327,0.9652008032128515,0.009,0.007544321644203674,0.9619091751621873,0.9610544743074863
dnn,normal_recall,30,0.006205234856960089,0.006247506551874539,0.0015649128750098726,0.9584591356880513,0.9635284728658223,0.001,0.006368292770897362,0.9595681872790308,0.9610544743074863
dnn,normal_recall,40,0.005312015663052398,0.005312015663052398,0.0,0.9610544743074863,0.9610544743074863,0.0,0.005312015663052398,0.9610544743074863,0.9610544743074863
dnn,dos_recall,3,0.023369616330264405,0.014022723621989218,0.007486930237030255,0.8159448466970591,0.8395012067578439,0.063,0.007254293315189254,0.8397246804326451,0.8315634218289084
dnn,dos_recall,5,0.013003735985665281,0.007692280461680134,0.005397734235596271,0.8222834540091177,0.8384030571198713,0.115,0.004704561717186361,0.8374899436846341,0.8315634218289084
dnn,dos_recall,10,0.008616463638354265,0.008471282705927338,0.003758465073861691,0.8247298203271655,0.8368597479216948,0.182,0.003974977909952292,0.835679806918745,0.8315634218289084
dnn,dos_recall,20,0.006034840935861514,0.006372880145504595,0.002057484440326906,0.8279827031375704,0.8350100563153661,0.09,0.006199285100426683,0.832850630195763,0.8315634218289084
dnn,dos_recall,30,0.004996291274110121,0.0053100242436292175,0.0012319685024347556,0.8298466970590863,0.8337760346831142,0.014,0.005290287719299675,0.8323634575846964,0.8315634218289084
