schema_version,dataset,partition_id,split_seed,architecture,seed,aggregate_accuracy,train_time_sec,normal_recall,normal_precision,normal_support,dos_recall,dos_precision,dos_support,probe_recall,probe_precision,probe_support,r2l_recall,r2l_precision,r2l_support,u2r_recall,u2r_precision,u2r_support
rev1.0,nsl_kdd,0,-1,lightgbm,0,0.5700851667849539,2.63,0.9838327669652971,0.5141811527904849,9711,0.35103244837758113,0.8418006430868167,7458,0.2755059892606361,0.8764783180026281,2421,0.004720406681190995,0.203125,2754,0.0,0.0,200
rev1.0,nsl_kdd,0,-1,lightgbm,1,0.7141589779985805,2.48,0.9369786839666358,0.6513708926909586,9711,0.7897559667471172,0.9065722641219024,7458,0.43205287071458076,0.8021472392638037,2421,0.023602033405954976,0.19519519519519518,2754,0.0,0.0,200
rev1.0,nsl_kdd,0,-1,lightgbm,2,0.7547019162526615,3.55,0.9707548141283081,0.6575294692055521,9711,0.7905604719764012,0.9618270799347471,7458,0.6344485749690211,0.80927291886196,2421,0.05192447349310094,0.9662162162162162,2754,0.06,0.3870967741935484,200
rev1.0,nsl_kdd,0,-1,lightgbm,3,0.33463449254790634,2.87,0.0009267840593141798,0.08181818181818182,9711,0.9982569053365513,0.33516409309863593,7458,0.03717472118959108,0.4411764705882353,2421,0.0,0.0,2754,0.0,0.0,200
rev1.0,nsl_kdd,0,-1,lightgbm,4,0.6688697657913414,2.42,0.9848625270312017,0.5731407682627195,9711,0.6308661839635291,0.9539740470397404,7458,0.33044196612969845,0.9101251422070534,2421,0.0032679738562091504,0.2,2754,0.005,1.0,200
rev1.0,nsl_kdd,0,-1,lightgbm,5,0.6443399574166075,2.43,0.9368757079600453,0.591739837398374,9711,0.6226870474658085,0.860637509266123,7458,0.29078893019413465,0.42718446601941745,2421,0.029048656499636893,0.64,2754,0.0,,200
rev1.0,nsl_kdd,0,-1,lightgbm,6,0.691847054648687,2.9,0.9502625888168057,0.6147901399067288,9711,0.6300616787342451,0.915270744059213,7458,0.587360594795539,0.7099350973539691,2421,0.08932461873638345,0.7834394904458599,2754,0.01,0.024096385542168676,200
rev1.0,nsl_kdd,0,-1,lightgbm,7,0.7012065294535131,2.61,0.9197816908660282,0.6424512695101776,9711,0.7272727272727273,0.806542750929368,7458,0.5357290375877737,0.7729439809296782,2421,0.054466230936819175,0.9036144578313253,2754,0.025,0.06944444444444445,200
rev1.0,nsl_kdd,0,-1,lightgbm,8,0.6718860894251242,2.79,0.8889918648954793,0.6223327566320646,9711,0.7247251273799946,0.7848119645709307,7458,0.4403139198678232,0.7271487039563438,2421,0.010530137981118372,0.23387096774193547,2754,0.07,0.07179487179487179,200
rev1.0,nsl_kdd,0,-1,lightgbm,9,0.37668559261887863,2.7,0.1377818968180414,0.8902195608782435,9711,0.9591043175113971,0.3428557733787087,7458,0.0004130524576621231,0.1111111111111111,2421,0.0,0.0,2754,0.0,0.0,200
rev1.0,nsl_kdd,0,-1,lightgbm,10,0.6421220723917672,3.06,0.7938420348058902,0.8658879029540605,9711,0.6006972378653794,0.9773123909249564,7458,0.9099545642296571,0.24576082106202587,2421,0.030501089324618737,0.9545454545454546,2754,0.0,0.0,200
rev1.0,nsl_kdd,0,-1,lightgbm,11,0.7621540099361249,2.75,0.964061373699928,0.6798838053740015,9711,0.8251541968356128,0.9533694810224632,7458,0.5960346964064436,0.7273185483870968,2421,0.08061002178649238,0.8314606741573034,2754,0.005,0.014705882352941176,200
rev1.0,nsl_kdd,0,-1,lightgbm,12,0.6552963094393187,2.81,0.7486355679126764,0.8460374723612243,9711,0.9692947170823277,0.5907493666748386,7458,0.10078479966955803,0.4485294117647059,2421,0.00907770515613653,0.040453074433656956,2754,0.025,0.009057971014492754,200
rev1.0,nsl_kdd,0,-1,lightgbm,13,0.6914034776437189,2.79,0.9207084749253424,0.6073223746773536,9711,0.6908018235451864,0.8919667590027701,7458,0.6142090045435771,0.8335201793721974,2421,0.0010893246187363835,0.03,2754,0.02,0.024691358024691357,200
rev1.0,nsl_kdd,0,-1,lightgbm,14,0.6929116394606104,2.76,0.972711358253527,0.612461907540686,9711,0.8035666398498257,0.8759134755919322,7458,0.0751755472945064,0.6791044776119403,2421,0.0,,2754,0.0,0.0,200
rev1.0,nsl_kdd,0,-1,lightgbm,15,0.6755677785663591,2.75,0.9483060446915869,0.646972038780385,9711,0.6639849825690534,0.7340646308923807,7458,0.4403139198678232,0.741307371349096,2421,0.0010893246187363835,0.03296703296703297,2754,0.0,0.0,200
rev1.0,nsl_kdd,0,-1,lightgbm,16,0.7189496096522356,2.96,0.9529399649881578,0.6697546500687559,9711,0.6855725395548404,0.9953280124586334,7458,0.7604295745559686,0.5270541082164328,2421,0.0,0.0,2754,0.0,0.0,200
rev1.0,nsl_kdd,0,-1,lightgbm,17,0.6941980127750177,2.78,0.933683451755741,0.6208147894556658,9711,0.6792705819254492,0.8859741168240644,7458,0.5914911193721603,0.6944713870029098,2421,0.030137981118373274,0.7155172413793104,2754,0.01,0.046511627906976744,200
rev1.0,nsl_kdd,0,-1,lightgbm,18,0.14837650816181688,2.64,0.09288435794459891,0.7560771165129925,9711,0.0029498525073746312,0.6111111111111112,7458,1.0,0.11379553466509988,2421,0.0,0.0,2754,0.0,0.0,200
rev1.0,nsl_kdd,0,-1,lightgbm,19,0.7195262597586941,3.04,0.937493563999588,0.6413074105381797,9711,0.7569053365513543,0.9398934398934399,7458,0.5757951259809996,0.6569274269557022,2421,0.02795933188090051,0.77,2754,0.005,0.008333333333333333,200
rev1.0,nsl_kdd,0,-1,lightgbm,20,0.6809794180269695,2.56,0.9762125424776027,0.5968645721840962,9711,0.6512469831053902,0.9085297418630752,7458,0.4155307724080958,0.8080321285140563,2421,0.0032679738562091504,0.36,2754,0.0,0.0,200
rev1.0,nsl_kdd,0,-1,lightgbm,21,0.45475514549325763,2.45,0.9278138193800844,0.4419916605347069,9711,0.06838294448913917,0.5130784708249497,7458,0.3023543990086741,0.6365217391304347,2421,0.0,,2754,0.0,0.0,200
rev1.0,nsl_kdd,0,-1,lightgbm,22,0.45839247693399576,2.74,0.32025538049634433,0.8441910966340934,9711,0.9564226334137839,0.38795822908734906,7458,0.03676166873192895,0.956989247311828,2421,0.0007262164124909223,0.6666666666666666,2754,0.0,0.0,200
