dataset,architecture,cell,n_seeds,mean,std,cv_pct,observed_var,sampling_noise_var,genuine_var,snr,degenerate,table_entry
cse_cic_ids2018_draw2,lightgbm,aggregate_accuracy,40,0.752475061876547,0.14966610843357103,19.889843001617724,0.02239994401364944,4.1167193545146255e-06,0.022395827294294925,5440.212306368275,False,0.022396 (5440.21)
cse_cic_ids2018_draw2,lightgbm,normal,40,0.8381888162453677,0.17372671607219156,20.726441668643737,0.030180971877227857,3.1965992150724e-06,0.030177775278012783,9440.587714506239,False,0.030178 (9440.59)
cse_cic_ids2018_draw2,lightgbm,bruteforce,40,0.2938559322033898,0.3551561703734586,120.86064341476026,0.12613590535434116,9.036040096489744e-05,0.12604554495337628,1394.9201597981128,False,0.126046 (1394.92)
cse_cic_ids2018_draw2,lightgbm,dos,40,0.2505856966707768,0.30276612344732357,120.82338595929608,0.09166732550731997,6.08926196091236e-05,0.09160643288771085,1504.3930360648399,False,0.091606 (1504.39)
cse_cic_ids2018_draw2,lightgbm,web_attacks,40,0.05,0.18946618668626836,378.9323733725367,0.035897435897435895,0.006214386627325464,0.02968304927011043,4.776505076074638,False,0.029683 (4.78)
cse_cic_ids2018_draw2,lightgbm,infiltration,40,0.03008793969849243,0.03741249967616185,124.34384025981153,0.0013996951320188107,6.963678998141489e-05,0.0013300583420373959,19.099937581734746,False,0.001330 (19.10)
cse_cic_ids2018_draw2,lightgbm,botnet,40,0.2758815232722144,0.3170279223795396,114.9145178768372,0.10050670356828736,0.00014313723446605646,0.1003635663338213,701.1702210693578,False,0.100364 (701.17)
cse_cic_ids2018_draw2,lightgbm,ddos,40,0.4425151611873604,0.3394692350267134,76.71358290094439,0.11523936152962196,4.2854037619379874e-05,0.11519650749200258,2688.1132768667585,False,0.115197 (2688.11)
cse_cic_ids2018_draw2,xgboost,aggregate_accuracy,40,0.9846239905997649,5.9240106438973705e-05,0.006016520723092348,3.5093902109009336e-09,3.7807842409086155e-07,0.0,0.0,False,0.000000 (0.00)
cse_cic_ids2018_draw2,xgboost,normal,40,0.9992580820101835,7.709683488494545e-05,0.007715407688257231,5.9439219492765405e-09,2.241217822420231e-08,0.0,0.0,False,0.000000 (0.00)
cse_cic_ids2018_draw2,xgboost,bruteforce,40,0.9542637711864405,0.0011724546409522473,0.12286483846018059,1.3746498850904633e-06,4.6380418685988745e-05,0.0,0.0,False,0.000000 (0.00)
