schema_version,dataset,architecture,seed,aggregate_accuracy,train_time_sec,epochs_run,normal_recall,normal_precision,normal_support,bruteforce_recall,bruteforce_precision,bruteforce_support,dos_recall,dos_precision,dos_support,web_attacks_recall,web_attacks_precision,web_attacks_support,infiltration_recall,infiltration_precision,infiltration_support,botnet_recall,botnet_precision,botnet_support,ddos_recall,ddos_precision,ddos_support
1.0,cse_cic_ids2018,logistic_regression,0,0.9570989274731868,263.54,,0.9905697327588804,0.9669431209928828,33191,0.8919491525423728,0.823069403714565,944,0.8914919852034525,0.9198473282442748,1622,0.0,nan,2,0.005025125628140704,0.2,398,0.49647390691114246,0.8888888888888888,709,0.8819023300351101,0.9222296395193591,3133
1.0,cse_cic_ids2018,logistic_regression,1,0.9570989274731868,262.55,,0.9905697327588804,0.9669431209928828,33191,0.8919491525423728,0.823069403714565,944,0.8914919852034525,0.9198473282442748,1622,0.0,nan,2,0.005025125628140704,0.2,398,0.49647390691114246,0.8888888888888888,709,0.8819023300351101,0.9222296395193591,3133
1.0,cse_cic_ids2018,logistic_regression,2,0.9570989274731868,263.04,,0.9905697327588804,0.9669431209928828,33191,0.8919491525423728,0.823069403714565,944,0.8914919852034525,0.9198473282442748,1622,0.0,nan,2,0.005025125628140704,0.2,398,0.49647390691114246,0.8888888888888888,709,0.8819023300351101,0.9222296395193591,3133
1.0,cse_cic_ids2018,logistic_regression,3,0.9570989274731868,262.87,,0.9905697327588804,0.9669431209928828,33191,0.8919491525423728,0.823069403714565,944,0.8914919852034525,0.9198473282442748,1622,0.0,nan,2,0.005025125628140704,0.2,398,0.49647390691114246,0.8888888888888888,709,0.8819023300351101,0.9222296395193591,3133
1.0,cse_cic_ids2018,logistic_regression,4,0.9570989274731868,261.96,,0.9905697327588804,0.9669431209928828,33191,0.8919491525423728,0.823069403714565,944,0.8914919852034525,0.9198473282442748,1622,0.0,nan,2,0.005025125628140704,0.2,398,0.49647390691114246,0.8888888888888888,709,0.8819023300351101,0.9222296395193591,3133
1.0,cse_cic_ids2018,logistic_regression,5,0.9570989274731868,262.2,,0.9905697327588804,0.9669431209928828,33191,0.8919491525423728,0.823069403714565,944,0.8914919852034525,0.9198473282442748,1622,0.0,nan,2,0.005025125628140704,0.2,398,0.49647390691114246,0.8888888888888888,709,0.8819023300351101,0.9222296395193591,3133
1.0,cse_cic_ids2018,logistic_regression,6,0.9570989274731868,262.23,,0.9905697327588804,0.9669431209928828,33191,0.8919491525423728,0.823069403714565,944,0.8914919852034525,0.9198473282442748,1622,0.0,nan,2,0.005025125628140704,0.2,398,0.49647390691114246,0.8888888888888888,709,0.8819023300351101,0.9222296395193591,3133
1.0,cse_cic_ids2018,logistic_regression,7,0.9570989274731868,260.78,,0.9905697327588804,0.9669431209928828,33191,0.8919491525423728,0.823069403714565,944,0.8914919852034525,0.9198473282442748,1622,0.0,nan,2,0.005025125628140704,0.2,398,0.49647390691114246,0.8888888888888888,709,0.8819023300351101,0.9222296395193591,3133
1.0,cse_cic_ids2018,logistic_regression,8,0.9570989274731868,263.33,,0.9905697327588804,0.9669431209928828,33191,0.8919491525423728,0.823069403714565,944,0.8914919852034525,0.9198473282442748,1622,0.0,nan,2,0.005025125628140704,0.2,398,0.49647390691114246,0.8888888888888888,709,0.8819023300351101,0.9222296395193591,3133
1.0,cse_cic_ids2018,logistic_regression,9,0.9570989274731868,260.08,,0.9905697327588804,0.9669431209928828,33191,0.8919491525423728,0.823069403714565,944,0.8914919852034525,0.9198473282442748,1622,0.0,nan,2,0.005025125628140704,0.2,398,0.49647390691114246,0.8888888888888888,709,0.8819023300351101,0.9222296395193591,3133
1.0,cse_cic_ids2018,logistic_regression,10,0.9570989274731868,262.77,,0.9905697327588804,0.9669431209928828,33191,0.8919491525423728,0.823069403714565,944,0.8914919852034525,0.9198473282442748,1622,0.0,nan,2,0.005025125628140704,0.2,398,0.49647390691114246,0.8888888888888888,709,0.8819023300351101,0.9222296395193591,3133
